,Burrard Bridge,Hornby Street,Dunsmuir Street,Dunsmuir Viaduct,Canada Line,Union and Hawks,Lions Gate,Science World,10th and Clark,Point Grey Road,
9-Aug,130.000,,,,,,,,,,
9-Sep,107.000,,,,,,,,,,
9-Oct,70.000,,,,,,,,,,
9-Nov,43.000,,,,,,,,,,
9-Dec,34.000,,,,,,,,,,
10-Jan,46.000,,,,,,,,,,
10-Feb,71.000,,,,,,,,,,
10-Mar,68.000,,,14.000,,,,,,,
10-Apr,77.000,,,15.000,,,,,,,
10-May,103.000,,,20.000,,,,,,,
10-Jun,117.000,,,34.000,,,,,,,
10-Jul,162.000,,46.000,43.000,,,,,,,
10-Aug,139.000,,48.000,44.000,,,,,,,
10-Sep,100.000,,37.000,39.000,,,,,,,
10-Oct,80.000,,35.000,35.000,,,,,,,
10-Nov,45.000,,24.000,25.000,,,,,,,
10-Dec,36.000,,21.000,20.000,,,,,,,
11-Jan,41.000,14.000,23.000,21.000,,,,,,,
11-Feb,42.000,19.000,24.000,22.000,,,,,,,
11-Mar,55.000,23.000,30.000,28.000,,,,,,,
11-Apr,74.000,27.000,35.000,32.000,,,,,,,
11-May,98.000,34.000,43.000,38.000,,,,,,,
11-Jun,129.000,45.000,58.000,50.000,,,,,,,
11-Jul,153.000,48.000,60.000,52.000,,,,,,,
11-Aug,165.000,54.000,68.000,57.000,,,,,,,
11-Sep,122.000,45.000,59.000,44.000,,,,,,,
11-Oct,79.000,34.000,44.000,37.000,,,,,,,
11-Nov,52.000,20.000,33.000,23.000,,,,,,,
11-Dec,39.000,19.000,22.000,22.000,,,,,,,
12-Jan,35.000,17.000,24.000,20.000,,,,,,,
12-Feb,47.000,20.000,27.000,26.000,,,,,,,
12-Mar,51.000,23.000,31.000,26.000,,,,,,,
12-Apr,74.000,27.000,35.000,33.000,,,,,,,
12-May,108.000,41.000,48.000,44.000,,,,,,,
12-Jun,108.000,40.000,50.000,42.000,,,,,,,
12-Jul,155.000,51.000,57.000,54.000,,,,,,,
12-Aug,158.000,55.000,58.000,54.000,,,,,,,
12-Sep,126.000,49.000,53.000,51.000,,,,,,,
12-Oct,74.000,34.000,40.000,36.000,,,,,,,
12-Nov,52.000,24.000,31.000,27.000,,,,,,,
12-Dec,31.000,15.000,18.000,18.000,,,,,,,
13-Jan,35.000,20.000,26.000,23.000,,,,,,,
13-Feb,40.000,20.000,25.000,24.000,,,,,,,
13-Mar,62.000,26.000,30.000,31.000,,,28.000,53.000,,,
13-Apr,79.000,33.000,38.000,39.000,15.000,,38.000,62.000,50.000,,
13-May,99.000,44.000,46.000,48.000,21.000,,52.000,92.000,62.000,,
13-Jun,109.000,45.000,46.000,48.000,22.000,,55.000,106.000,66.000,,
13-Jul,161.000,68.000,65.000,68.000,26.000,101.000,70.000,167.000,84.000,,
13-Aug,127.000,58.000,55.000,58.000,21.000,92.000,57.000,141.000,67.000,,
13-Sep,93.000,47.000,48.000,51.000,17.000,77.000,40.000,102.000,59.000,,
13-Oct,79.000,43.000,47.000,48.000,15.000,71.000,35.000,85.000,54.000,,
13-Nov,56.000,31.000,35.000,35.000,10.000,52.000,23.000,55.000,39.000,,
13-Dec,35.000,20.000,22.000,21.000,6.000,30.000,12.000,,22.000,,
14-Jan,54.000,27.000,31.000,32.000,10.000,45.000,21.000,,36.000,,
14-Feb,41.000,22.000,26.000,25.000,7.000,36.000,14.000,,28.000,,
14-Mar,57.000,28.000,33.000,34.000,10.000,51.000,22.000,59.000,30.000,,
14-Apr,85.000,38.000,41.000,44.000,16.000,70.000,39.000,94.000,45.000,,
14-May,111.000,52.000,52.000,55.000,23.000,92.000,56.000,133.000,55.000,,
14-Jun,148.000,59.000,58.000,60.000,26.000,103.000,63.000,146.000,62.000,,
14-Jul,195.000,71.000,65.000,66.000,27.000,,68.000,187.000,78.000,,
14-Aug,178.000,66.000,59.000,59.000,22.000,94.000,60.000,175.000,63.000,,
14-Sep,142.000,55.000,53.000,55.000,22.000,92.000,50.000,144.000,68.000,66.000,
14-Oct,94.000,42.000,43.000,45.000,15.000,69.000,32.000,89.000,52.000,33.000,
14-Nov,66.000,30.000,33.000,34.000,11.000,51.000,23.000,62.000,39.000,23.000,
14-Dec,46.000,23.000,26.000,27.000,8.000,37.000,16.000,43.000,28.000,15.000,
15-Jan,62.000,29.000,30.000,36.000,11.000,49.000,24.000,58.000,34.000,22.000,
15-Feb,70.000,31.000,34.000,37.000,12.000,53.000,28.000,69.000,38.000,27.000,
15-Mar,87.000,37.000,40.000,43.000,15.000,63.000,32.000,86.000,45.000,35.000,
15-Apr,110.000,43.000,44.000,51.000,18.000,75.000,42.000,108.000,53.000,48.000,
15-May,162.000,58.000,58.000,65.000,27.000,101.000,64.000,166.000,73.000,79.000,
15-Jun,190.000,73.000,67.000,76.000,28.000,115.000,70.000,191.000,82.000,96.000,
15-Jul,190.000,72.000,66.000,72.000,26.000,115.000,66.000,195.000,76.000,102.000,
15-Aug,169.000,65.000,60.000,64.000,25.000,101.000,64.000,174.000,69.000,84.000,
15-Sep,124.000,53.000,54.000,59.000,19.000,87.000,44.000,127.000,62.000,52.000,
15-Oct,103.000,46.000,50.000,55.000,16.000,77.000,34.000,104.000,57.000,38.000,
15-Nov,67.000,33.000,37.000,39.000,11.000,56.000,22.000,67.000,38.000,22.000,
15-Dec,44.000,23.000,27.000,27.000,7.000,38.000,13.000,43.000,24.000,13.000,
16-Jan,53.000,26.000,29.000,31.000,9.000,43.000,17.000,52.000,29.000,17.000,
16-Feb,62.000,28.000,*,35.000,11.000,50.000,22.000,63.000,33.000,22.000,
16-Mar,78.000,32.000,*,40.000,13.000,59.000,28.000,83.000,39.000,32.000,
16-Apr,132.000,49.000,54.000,60.000,22.000,94.000,51.000,144.000,65.000,59.000,
16-May,149.000,58.000,61.000,70.000,27.000,107.000,61.000,163.000,72.000,70.000,
16-Jun,151.000,60.000,59.000,69.000,26.000,102.000,59.000,161.000,69.000,71.000,
16-Jul,177.000,64.000,56.000,68.000,26.000,111.000,64.000,193.000,66.000,92.000,
16-Aug,182.000,75.000,69.000,75.000,26.000,113.000,66.000,204.000,67.000,91.000,
16-Sep,133.000,63.000,58.000,64.000,20.000,94.000,48.000,145.000,59.000,52.000,
16-Oct,78.000,39.000,41.000,44.000,12.000,63.000,28.000,82.000,39.000,24.000,
16-Nov,65.000,34.000,38.000,41.000,10.000,56.000,23.000,67.000,35.000,17.000,
16-Dec,25.000,15.000,*,14.000,3.000,18.000,6.000,22.000,10.000,5.000,
17-Jan,40.000,22.000,*,24.000,5.000,30.000,14.000,39.000,17.000,10.000,
17-Feb,41.000,21.000,*,24.000,6.000,34.000,14.000,44.000,19.000,11.000,
17-Mar,55.000,27.000,30.000,32.000,8.000,43.000,18.000,58.000,26.000,15.000,
17-Apr,84.000,35.000,37.000,40.000,15.000,61.000,33.000,92.000,39.000,27.000,
17-May,139.000,55.000,54.000,59.000,23.000,94.000,53.000,156.000,58.000,58.000,
17-Jun,157.000,67.000,63.000,68.000,26.000,108.000,61.000,181.000,65.000,69.000,
17-Jul,187.000,80.000,65.000,73.000,29.000,120.000,71.000,227.000,70.000,99.000,
17-Aug,190.000,78.000,66.000,72.000,26.000,115.000,63.000,,65.000,84.000,
17-Sep,140.000,59.000,56.000,61.000,19.000,91.000,47.000,,57.000,56.000,
17-Oct,91.000,45.000,47.000,51.000,15.000,71.000,35.000,106.000,45.000,34.000,
17-Nov,56.000,29.000,34.000,36.000,8.000,49.000,19.000,60.000,29.000,16.000,
17-Dec,40.000,21.000,25.000,25.000,6.000,34.000,15.000,44.000,20.000,12.000,
18-Jan,47.000,24.000,29.000,30.000,7.000,39.000,18.000,48.000,23.000,13.000,
18-Feb,43.000,21.000,25.000,26.000,6.000,34.000,13.000,44.000,19.000,13.000,
18-Mar,78.000,33.000,37.000,39.000,12.000,57.000,27.000,85.000,33.000,30.000,
18-Apr,93.000,37.000,41.000,46.000,15.000,69.000,34.000,103.000,42.000,38.000,
18-May,181.000,67.000,58.000,76.000,27.000,124.000,67.000,202.000,73.000,83.000,
18-Jun,161.000,61.000,61.000,68.000,24.000,109.000,57.000,173.000,65.000,70.000,
18-Jul,216.000,75.000,68.000,75.000,27.000,127.000,72.000,239.000,71.000,111.000,
